dataset_index,config_type,domain,role,ft_split,natoms,nSi,nO,O_over_Si,content_sha12
835,liquid,amorphous_SiO2,core,train,192,64,128,2.0,b91be440c544
836,quench,amorphous_SiO2,core,train,192,64,128,2.0,b42116c5cb37
837,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,8931631f2fdb
838,liquid,amorphous_SiO2,core,train,192,64,128,2.0,6137192aace4
839,quench,amorphous_SiO2,core,train,192,64,128,2.0,b207aba9cbe6
841,liquid,amorphous_SiO2,core,train,192,64,128,2.0,9974c8482ff8
842,quench,amorphous_SiO2,core,train,192,64,128,2.0,1a7d7142d6c5
843,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,f7a3cea19be2
844,liquid,amorphous_SiO2,core,val,192,64,128,2.0,757b6ad9b6dc
845,quench,amorphous_SiO2,core,train,192,64,128,2.0,0898a41ddcda
847,liquid,amorphous_SiO2,core,train,192,64,128,2.0,b44f9fc8ab61
848,quench,amorphous_SiO2,core,train,192,64,128,2.0,75b16ec4c64c
850,liquid,amorphous_SiO2,core,train,192,64,128,2.0,7cf3a45eddea
851,quench,amorphous_SiO2,core,train,192,64,128,2.0,e6693f4b59fd
852,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,b2fbb6ecb69b
853,liquid,amorphous_SiO2,core,train,192,64,128,2.0,72bc33edc3a7
854,quench,amorphous_SiO2,core,train,192,64,128,2.0,d723c1a9cf1a
855,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,ac2ab570dbd9
857,quench,amorphous_SiO2,core,val,192,64,128,2.0,d65357953651
858,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,0de814baec28
861,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,27f533ebb670
862,liquid,amorphous_SiO2,core,train,192,64,128,2.0,6ab87894dbca
863,quench,amorphous_SiO2,core,train,192,64,128,2.0,f03629d2efd6
864,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,c692b3e1ea2d
867,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,57b35f575243
869,quench,amorphous_SiO2,core,train,192,64,128,2.0,9a0a4b99b054
871,liquid,amorphous_SiO2,core,train,192,64,128,2.0,2cd0ba973196
873,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,ce095d837158
875,quench,amorphous_SiO2,core,val,192,64,128,2.0,1ed61a8a77aa
877,liquid,amorphous_SiO2,core,train,192,64,128,2.0,e926db48960d
878,quench,amorphous_SiO2,core,train,192,64,128,2.0,37047a1b8a4c
879,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,e90086db854e
880,liquid,amorphous_SiO2,core,train,192,64,128,2.0,703ba38c8be8
883,liquid,amorphous_SiO2,core,train,192,64,128,2.0,49f94989f2a0
884,quench,amorphous_SiO2,core,train,192,64,128,2.0,bd8b35ff79ec
885,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,97cfa6cebb91
886,liquid,amorphous_SiO2,core,train,192,64,128,2.0,20c1a4a1459a
887,quench,amorphous_SiO2,core,train,192,64,128,2.0,eb5a721023a5
888,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,53fb52d4c296
889,liquid,amorphous_SiO2,core,train,192,64,128,2.0,02a3aff20988
890,quench,amorphous_SiO2,core,train,192,64,128,2.0,dabca948d6cd
892,liquid,amorphous_SiO2,core,train,192,64,128,2.0,ce856dd5a08e
893,quench,amorphous_SiO2,core,train,192,64,128,2.0,cf02344c19e6
894,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,eeee337042b1
895,liquid,amorphous_SiO2,core,train,192,64,128,2.0,4906879667b3
896,quench,amorphous_SiO2,core,train,192,64,128,2.0,5fdc1ff89578
897,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,853e20703207
898,liquid,amorphous_SiO2,core,train,192,64,128,2.0,aa17766a98a7
899,quench,amorphous_SiO2,core,val,192,64,128,2.0,1514bc81240b
901,liquid,amorphous_SiO2,core,train,192,64,128,2.0,88e3a9beadca
902,quench,amorphous_SiO2,core,train,192,64,128,2.0,d5d309b4f5ed
903,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,8bb91aa83e78
904,liquid,amorphous_SiO2,core,train,192,64,128,2.0,b596864f1bec
905,quench,amorphous_SiO2,core,train,192,64,128,2.0,b9fc60c6dadd
906,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,308650d6aebf
908,quench,amorphous_SiO2,core,train,192,64,128,2.0,c073d79f8e46
909,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,5852eee90178
910,liquid,amorphous_SiO2,core,train,192,64,128,2.0,dbf55fc762c2
912,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,e11569d1d1b1
913,liquid,amorphous_SiO2,core,train,192,64,128,2.0,567c8c33081b
914,quench,amorphous_SiO2,core,train,192,64,128,2.0,322b34c0d5a6
915,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,b16592054d9e
916,liquid,amorphous_SiO2,core,train,192,64,128,2.0,44c1ddf9bce0
918,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,79cf118edae7
919,liquid,amorphous_SiO2,core,train,192,64,128,2.0,3e9a867b9087
920,quench,amorphous_SiO2,core,train,192,64,128,2.0,e7f31ab7904a
922,liquid,amorphous_SiO2,core,train,192,64,128,2.0,fa0bfb0ee66c
923,quench,amorphous_SiO2,core,train,192,64,128,2.0,296d2ff96e8e
924,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,759625a101ee
925,liquid,amorphous_SiO2,core,train,192,64,128,2.0,e9cbbf8cf205
926,quench,amorphous_SiO2,core,train,192,64,128,2.0,31b5fd166203
927,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,8429589b6a98
930,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,a47cac4859be
931,liquid,amorphous_SiO2,core,train,192,64,128,2.0,3698a9ac235f
932,quench,amorphous_SiO2,core,train,192,64,128,2.0,4c260413da46
933,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,d5a75176f05b
934,liquid,amorphous_SiO2,core,train,192,64,128,2.0,3c44012f17e0
935,quench,amorphous_SiO2,core,train,192,64,128,2.0,e9004fa388c6
936,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,fb699d4a3855
937,liquid,amorphous_SiO2,core,train,192,64,128,2.0,e145851ff526
938,quench,amorphous_SiO2,core,train,192,64,128,2.0,cf9b30a368b9
939,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,934d82b5bf77
940,liquid,amorphous_SiO2,core,train,192,64,128,2.0,48e88ab39e88
941,quench,amorphous_SiO2,core,train,192,64,128,2.0,aad81809ad50
942,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,a0c8d5e2d328
943,liquid,amorphous_SiO2,core,train,192,64,128,2.0,749f2aff88dc
944,quench,amorphous_SiO2,core,train,192,64,128,2.0,aa23676ede4e
945,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,136bed18bb55
946,liquid,amorphous_SiO2,core,val,192,64,128,2.0,e1ffac349e28
950,quench,amorphous_SiO2,core,train,192,64,128,2.0,9e255a8f41ec
951,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,e2cef8c825a5
952,liquid,amorphous_SiO2,core,train,192,64,128,2.0,6c646ae47e66
954,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,b9c6103023a3
955,liquid,amorphous_SiO2,core,train,192,64,128,2.0,1763d2106d0e
956,quench,amorphous_SiO2,core,train,192,64,128,2.0,ec20fc1c892f
957,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,349cd4d1feea
958,liquid,amorphous_SiO2,core,train,192,64,128,2.0,b659189a1c08
959,quench,amorphous_SiO2,core,train,192,64,128,2.0,fba48fb4c1d6
960,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,38b2f82440a3
962,quench,amorphous_SiO2,core,train,192,64,128,2.0,d978912c8bc0
963,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,17e09ac11409
964,liquid,amorphous_SiO2,core,train,192,64,128,2.0,9fdf10139ca1
965,quench,amorphous_SiO2,core,train,192,64,128,2.0,c144c5383b27
967,liquid,amorphous_SiO2,core,train,192,64,128,2.0,637a169a3578
968,quench,amorphous_SiO2,core,train,192,64,128,2.0,c8b9a44b5fdb
969,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,f166abd7b2f9
970,liquid,amorphous_SiO2,core,train,192,64,128,2.0,0e77217dcb80
971,quench,amorphous_SiO2,core,train,192,64,128,2.0,7ba61d07f2cc
974,quench,amorphous_SiO2,core,val,192,64,128,2.0,4dbe0dc48c94
975,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,d18cc2e654b9
976,liquid,amorphous_SiO2,core,train,192,64,128,2.0,42f95babeb26
978,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,d0968293b8a8
979,liquid,amorphous_SiO2,core,train,192,64,128,2.0,1b7ae436dc1d
980,quench,amorphous_SiO2,core,train,192,64,128,2.0,b6205d529818
981,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,f719f66b9c06
982,liquid,amorphous_SiO2,core,train,192,64,128,2.0,92cc87247a7f
983,quench,amorphous_SiO2,core,train,192,64,128,2.0,be7a2bb2fa71
984,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,254c16857e0a
985,liquid,amorphous_SiO2,core,val,192,64,128,2.0,5bd807f8403c
986,quench,amorphous_SiO2,core,train,192,64,128,2.0,6e0331cc27c7
988,liquid,amorphous_SiO2,core,train,192,64,128,2.0,c6ed9d64e376
989,quench,amorphous_SiO2,core,train,192,64,128,2.0,1769e1bca98f
990,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,ad95831311fc
991,liquid,amorphous_SiO2,core,train,192,64,128,2.0,2dc532782748
993,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,7871071b34a3
997,liquid,amorphous_SiO2,core,train,192,64,128,2.0,52f6f84fb6e0
999,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,b58952776d4d
1000,liquid,amorphous_SiO2,core,train,192,64,128,2.0,666f34b98a94
1001,quench,amorphous_SiO2,core,val,192,64,128,2.0,3c3847315a38
1003,liquid,amorphous_SiO2,core,train,192,64,128,2.0,103b7ff7181b
1004,quench,amorphous_SiO2,core,train,192,64,128,2.0,fd4721fa2151
1005,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,952e908f32bf
1006,liquid,amorphous_SiO2,core,train,192,64,128,2.0,825b774023eb
1007,quench,amorphous_SiO2,core,train,192,64,128,2.0,4534b685be94
1008,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,dcb2505445fb
1009,liquid,amorphous_SiO2,core,train,192,64,128,2.0,12d307fb1e50
1011,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,949148869d11
1012,liquid,amorphous_SiO2,core,train,192,64,128,2.0,82a8ccbca506
1013,quench,amorphous_SiO2,core,val,192,64,128,2.0,71dce54ef432
1014,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,30ed7f287148
1015,liquid,amorphous_SiO2,core,train,192,64,128,2.0,217d5fffa054
1016,quench,amorphous_SiO2,core,train,192,64,128,2.0,f59c00fa597d
1017,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,606c445bb99d
1018,liquid,amorphous_SiO2,core,train,192,64,128,2.0,fda18c09f73a
1019,quench,amorphous_SiO2,core,train,192,64,128,2.0,434975934788
1021,liquid,amorphous_SiO2,core,train,192,64,128,2.0,a108beed3bda
1022,quench,amorphous_SiO2,core,train,192,64,128,2.0,374ae52635d3
1023,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,a30ca30385b9
1024,liquid,amorphous_SiO2,core,val,192,64,128,2.0,a89aa8afd098
1025,quench,amorphous_SiO2,core,train,192,64,128,2.0,ae7894a388ec
1026,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,b56d3ba7acc4
1027,liquid,amorphous_SiO2,core,train,192,64,128,2.0,3a870605abac
1028,quench,amorphous_SiO2,core,train,192,64,128,2.0,6197d5648052
1029,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,5f86a9c7445f
1030,liquid,amorphous_SiO2,core,train,192,64,128,2.0,1bd9e6f82268
1031,quench,amorphous_SiO2,core,train,192,64,128,2.0,e1367af02729
1032,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,b79598020dac
1033,liquid,amorphous_SiO2,core,train,192,64,128,2.0,93b286d40ea7
1037,quench,amorphous_SiO2,core,val,192,64,128,2.0,0686ffc0fbd7
1039,liquid,amorphous_SiO2,core,train,192,64,128,2.0,0f12ef19bd45
1040,quench,amorphous_SiO2,core,train,192,64,128,2.0,622a37ee7d17
1041,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,38a886c14a4b
1043,quench,amorphous_SiO2,core,train,192,64,128,2.0,46e0f5b11f8a
1044,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,12cf7923ff89
1045,liquid,amorphous_SiO2,core,train,192,64,128,2.0,7422116bb64d
1046,quench,amorphous_SiO2,core,train,192,64,128,2.0,8f72571ca18c
1047,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,73fe644cece2
1049,quench,amorphous_SiO2,core,train,192,64,128,2.0,ec2968cfc0cc
1050,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,926d48fe8a6a
1051,liquid,amorphous_SiO2,core,train,192,64,128,2.0,7b1432f4c4ee
1053,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,00f8e8e1eb43
1054,liquid,amorphous_SiO2,core,train,192,64,128,2.0,502c3525cbb5
1055,quench,amorphous_SiO2,core,train,192,64,128,2.0,1ac6f8d279ff
1057,liquid,amorphous_SiO2,core,train,192,64,128,2.0,9fa3b7a2d0d2
1058,quench,amorphous_SiO2,core,train,192,64,128,2.0,82f47a304826
1059,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,6fd95b41e2e6
1060,liquid,amorphous_SiO2,core,train,192,64,128,2.0,35b1012a7bb6
1061,quench,amorphous_SiO2,core,train,192,64,128,2.0,1ad205d364af
1062,bulk_amo,amorphous_SiO2,core,val,192,64,128,2.0,0f0859128d15
1063,liquid,amorphous_SiO2,core,train,192,64,128,2.0,b027ead3820a
1065,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,5b1ccae7e675
1066,liquid,amorphous_SiO2,core,train,192,64,128,2.0,83f3b7500e2c
1068,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,4ddfe89b2236
1069,liquid,amorphous_SiO2,core,train,192,64,128,2.0,06855939a97f
1071,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,82bf1f910318
1072,liquid,amorphous_SiO2,core,train,192,64,128,2.0,534539a3d876
1074,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,a2c95e343075
1075,liquid,amorphous_SiO2,core,train,192,64,128,2.0,d0a8cc83b58d
1076,quench,amorphous_SiO2,core,val,192,64,128,2.0,03c64f157f1a
1077,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,2afe3e2cb1a4
1079,quench,amorphous_SiO2,core,train,192,64,128,2.0,f115b79d256c
1080,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,9ae3e0accbe2
1083,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,a6ba717c496a
1084,liquid,amorphous_SiO2,core,train,192,64,128,2.0,87ce0a07c2c6
1085,quench,amorphous_SiO2,core,train,192,64,128,2.0,f5810d2e8656
1086,bulk_amo,amorphous_SiO2,core,train,192,64,128,2.0,722609e817e8
1088,quench,amorphous_SiO2,core,train,192,64,128,2.0,d98e4ac5cec4
1090,liquid,amorphous_SiO2,core,train,192,64,128,2.0,25b613a1726f
